"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1075391","GSM1726059: Metazome_Echinodermata_timecourse_sample_0024; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974772","","49.21","1","2723847","95334645","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075390","GSM1726058: Metazome_Echinodermata_timecourse_sample_0023; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974770","","32.42","1","1807129","63249515","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075389","GSM1726057: Metazome_Echinodermata_timecourse_sample_0022; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974777","","7.52","1","399071","13967485","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075388","GSM1726056: Metazome_Echinodermata_timecourse_sample_0021; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974778","","35.91","1","1984799","69467965","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075387","GSM1726055: Metazome_Echinodermata_timecourse_sample_0020; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974783","","66.52","1","3619836","126694260","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075386","GSM1726054: Metazome_Echinodermata_timecourse_sample_0019; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974779","","11.33","1","632296","22130360","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075385","GSM1726053: Metazome_Echinodermata_timecourse_sample_0018; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974781","","30.13","1","1683682","58928870","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075384","GSM1726052: Metazome_Echinodermata_timecourse_sample_0017; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974780","","52.59","1","2904311","101650885","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075383","GSM1726051: Metazome_Echinodermata_timecourse_sample_0016; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974785","","32.51","1","1787754","62571390","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075382","GSM1726050: Metazome_Echinodermata_timecourse_sample_0015; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974789","","12.76","1","658494","23047290","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075381","GSM1726049: Metazome_Echinodermata_timecourse_sample_0014; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974787","","6.57","1","352475","12336625","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075380","GSM1726048: Metazome_Echinodermata_timecourse_sample_0013; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974786","","21.81","1","1195183","41831405","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075379","GSM1726047: Metazome_Echinodermata_timecourse_sample_0012; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974788","","16.42","1","900797","31527895","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075378","GSM1726046: Metazome_Echinodermata_timecourse_sample_0011; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974784","","38.77","1","2104282","73649870","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075377","GSM1726045: Metazome_Echinodermata_timecourse_sample_0010; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974791","","5.41","1","293758","10281530","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075376","GSM1726044: Metazome_Echinodermata_timecourse_sample_0009; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974790","","16.35","1","885536","30993760","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075375","GSM1726043: Metazome_Echinodermata_timecourse_sample_0008; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974795","","103.99","1","5778337","202241795","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075374","GSM1726042: Metazome_Echinodermata_timecourse_sample_0007; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974796","","31.83","1","1759615","61586525","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075373","GSM1726041: Metazome_Echinodermata_timecourse_sample_0006; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974799","","12.49","1","689980","24149300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075372","GSM1726040: Metazome_Echinodermata_timecourse_sample_0005; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974798","","55.77","1","3046043","106611505","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075371","GSM1726039: Metazome_Echinodermata_timecourse_sample_0004; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974797","","31.99","1","1768776","61907160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075370","GSM1726038: Metazome_Echinodermata_timecourse_sample_0003; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974793","","14.73","1","809973","28349055","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075369","GSM1726037: Metazome_Echinodermata_timecourse_sample_0002; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974800","","16.17","1","881231","30843085","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075368","GSM1726036: Metazome_Echinodermata_timecourse_sample_0001; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974810","","38.19","1","2105517","73693095","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1021752","SUS-II-body wall","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS931710","","251.63","1","11340398","408254328","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1018637","Identification of small RNAs from Apostichopus japonicus","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS929814","","494.2","1","20827189","1041359450","","miRNA-Seq","TRANSCRIPTOMIC","other"
"SRX1016184","Identification of small RNAs from Apostichopus japonicus","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS927518","","246.52","1","10750656","387023616","","miRNA-Seq","TRANSCRIPTOMIC","other"
"SRX1021760","Normal-III-body wall","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS927523","","256.21","1","11994630","431806680","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1021759","SUS-III- body wall","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS931714","","262.56","1","11753209","423115524","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1021758","SUS-II-coelomocytes","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS931713","","510.78","1","21402840","1070142000","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1021757","SUS-II-respiratory tree","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS931712","","457.86","1","19720952","986047600","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1021754","SUS-II-intestines","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS931711","","566.19","1","23312273","1165613650","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1021753","Normal-II- body wall","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS927521","","212.31","1","9475037","341101332","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1021750","Normal-I- body wall","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS931709","","285.23","1","12650705","455425380","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1020407","SUS-I-body wall","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS930954","","195.89","1","8952300","322282800","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1020400","Identification of small RNAs from sea cucumber","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS930947","","639.16","1","20159951","1007997550","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX1020389","Identification of small RNAs from sea cucumber","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP058018","Apostichopus japonicus Raw sequence reads","SRS930938","","497.38","1","21791573","1089578650","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX894059","Pycnopodia helianthoides sea star wasting disease exposure experiment- CControl FHL","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS860066","","1419.23","1","11952919","2414489638","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX894058","Pycnopodia helianthoides sea star wasting disease exposure experiment- Control DB","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS860067","","2740.27","1","23172864","4680918528","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX894057","Pycnopodia helianthoides sea star wasting disease exposure experiment- Control PH","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS860068","","10235.09","1","87027784","17579612368","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX894056","Pycnopodia helianthoides sea star wasting disease exposure experiment- Treated L","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS860069","","2289.35","1","19319381","3902514962","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX894055","Pycnopodia helianthoides sea star wasting disease exposure experiment- Treated PH","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS860070","","1161.48","1","9752597","1970024594","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX807439","Pycnopodia helianthoides sea star wasting disease exposure experiment- Treated FHL","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS789009","","942.81","1","7948472","1605591344","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX878452","small RNAs in longitudinal muscle of sea cucumber","Apostichopus japonicus","Illumina HiSeq 2000","Dalian Ocean University","SRP055061","longitudinal muscle of Apostichopus japonicus Raw sequence reads","SRS846350","","310.86","1","11207408","560370400","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX878425","Small RNAs in respiratory tree of sea cucumber","Apostichopus japonicus","Illumina HiSeq 2000","Dalian Ocean University","SRP055060","respiratory tree of Apostichopus japonicus Raw sequence reads","SRS846327","","351.25","1","11032104","551605200","","miRNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX493873","Acanthaster planci testes transciptome","Acanthaster planci","Illumina HiSeq 2000","University of the Sunshine Coast","SRP051695","Acanthaster planci strain:Crown of thorns seastar Transcriptome or Gene expression","SRS576550","","3191.83","1","26482999","4766939820","Acanthaster planci testes","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX847519","Lhx2+ specific transcriptome, 35hpf, negative cells, r2","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822991","","8472.29","1","66788914","13357782800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847517","Lhx2+ specific transcriptome, 35hpf, positive cells, r2","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822989","","8001.12","1","62883538","12576707600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847515","Onecut+ specific transcriptome, 35hpf, negative cells, r3","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822987","","5196.99","1","41879554","8375910800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847514","Onecut+ specific transcriptome, 35hpf, positive cells, r3","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822986","","3419.14","1","27672244","5534448800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847513","Onecut+ specific transcriptome, 35hpf, negative cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822985","","2161.21","1","17512935","3502587000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847512","Onecut+ specific transcriptome, 35hpf, positive cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822984","","3248.84","1","26585956","5317191200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847511","Gsc+ specific transcriptome, 35hpf, negative cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822983","","3528.94","1","28208845","5641769000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847510","Gsc+ specific transcriptome, 35hpf, positive cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822982","","3789.14","1","30697100","6139420000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847509","Gcm+ specific transcriptome, 45hpf, negative cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822981","","5804.59","1","45833688","9166737600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847507","Gcm+ specific transcriptome, 45hpf, positive cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822979","","11672.44","1","92175278","18435055600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847465","Eve+ specific transcriptome, 25hpf, negative cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822937","","3144.12","1","36671651","5574090952","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX847426","Eve+ specific transcriptome, 25hpf, positive cells, r1","Strongylocentrotus purpuratus","Illumina HiSeq 2000","Caltech","SRP052830","Strongylocentrotus purpuratus cell-type specific transcriptomes II","SRS822899","","3683.83","1","37947816","5768068032","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX766139","Paracentrotus lividus time 48","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS735615","","1744.79","1","20825599","4206770998","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX749733","Paracentrotus lividus time 0","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS735613","","2130.97","1","25146756","5079644712","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX766138","Paracentrotus lividus time 24","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS750322","","282.63","1","3315564","669743928","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX766135","Paracentrotus lividus time 21","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS750318","","1906.13","1","22798942","4605386284","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX766119","Paracentrotus lividus time 18","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS735614","","1929.57","1","23167737","4679882874","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX766116","Paracentrotus lividus time 12","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS750301","","2600.13","1","31279912","6318542224","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX766113","Paracentrotus lividus time 4","Paracentrotus lividus","Illumina HiSeq 2500","University of Haifa","SRP049455","Paracentrotus lividus Transcriptome or Gene expression","SRS750298","","2598.68","1","30673171","6195980542","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX807405","Phel_Treated_FHL","Pycnopodia helianthoides","Illumina HiSeq 2000","University of Washington","SRP051104","Pycnopodia helianthoides Transcriptome","SRS789009","","942.81","1","7948472","1605591344","Phel_Treated_FHL","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX798213","Astrotoma agssizii transcriptome: Sample A.agssizii Op276.14C","Astrotoma agassizii","Illumina HiSeq 2000","Naturhistoriska riksmuseet","SRP050862","Phylogenomics of Ambulacraria (Hemichordata + Echinodermata)","SRS781519","","3396.12","1","27187998","5437599600","A.agssizii Op276.14C","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX798211","Dumetocrinus sp. Transcriptome: Sample Dumetocrinus Ci137.4R","Dumetocrinus sp. JTC-2014","Illumina HiSeq 2000","Naturhistoriska riksmuseet","SRP050862","Phylogenomics of Ambulacraria (Hemichordata + Echinodermata)","SRS781517","","3375.3","1","24740692","4948138400","Dumetocrinus Ci137.4R","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX798209","Labidiaster annulatus transcriptome: Sample L.annulatus As343.2C","Labidiaster annulatus","Illumina HiSeq 2000","Naturhistoriska riksmuseet","SRP050862","Phylogenomics of Ambulacraria (Hemichordata + Echinodermata)","SRS781515","","3336.21","1","26634240","5326848000","L.annulatus As343.2C","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX798208","Labidiaster annulatus transcriptome: Sample L.annulatus As287.15C","Labidiaster annulatus","Illumina HiSeq 2000","Naturhistoriska riksmuseet","SRP050862","Phylogenomics of Ambulacraria (Hemichordata + Echinodermata)","SRS781514","","4497.83","1","35680796","7136159200","L.annulatus As287.15C","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX798206","Leptosynapta clarki transcriptome : Sample L.clarki ","Leptosynapta clarki","Illumina HiSeq 2000","Naturhistoriska riksmuseet","SRP050862","Phylogenomics of Ambulacraria (Hemichordata + Echinodermata)","SRS781512","","3518.56","1","28011251","5602250200","L.clarki ","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX798205","Parastichopus californicus transcriptome: Sample P.californicus","Parastichopus californicus","Illumina HiSeq 2000","Naturhistoriska riksmuseet","SRP050862","Phylogenomics of Ambulacraria (Hemichordata + Echinodermata)","SRS781511","","3273.54","1","26001686","5200337200","P.californicus","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX660504","Amphiura_filiformis_RNA-seq_adult_arm","Amphiura filiformis","Illumina HiSeq 2000","University of Mons","SRP044772","Amphiura filiformisTranscriptome or Gene expression","SRS665501","","3141.58","1","24349947","4869989400","","RNA-Seq","TRANSCRIPTOMIC","DNase"
"SRX790659","Asterias rubens tube foot transcriptome","Asterias rubens","Illumina Genome Analyzer II","University of Mons","SRP050362","Asterias rubens tube foot Transcriptome","SRS774655","","3214.85","1","39237830","5964150160","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX768573","sea cucumber Transcriptome or Gene expression-SUS32","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752743","","293.32","1","12918659","645932950","SUS32","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768572","sea cucumber Transcriptome or Gene expression-SUS31","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752742","","497.24","1","21998511","1099925550","SUS31","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768571","sea cucumber Transcriptome or Gene expression-SUS25","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752741","","361.47","1","15991880","799594000","SUS25","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768570","sea cucumber Transcriptome or Gene expression-SUS24","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752740","","304.95","1","13472874","673643700","SUS24","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768569","sea cucumber Transcriptome or Gene expression-SUS23","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752739","","474.26","1","20984718","1049235900","SUS23","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768568","sea cucumber Transcriptome or Gene expression-SUS22","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752738","","264.77","1","11261212","563060600","SUS22","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768567","sea cucumber Transcriptome or Gene expression-SUS21","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752737","","384.41","1","17035728","851786400","SUS21","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768566","sea cucumber Transcriptome or Gene expression-SUS12","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752736","","269.38","1","11454420","572721000","SUS12","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768565","sea cucumber Transcriptome or Gene expression-SUS11","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752735","","293.79","1","12498214","624910700","SUS11","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768564","sea cucumber Transcriptome or Gene expression-AjH4","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752734","","316.3","1","13950025","697501250","AjH4","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768563","sea cucumber Transcriptome or Gene expression-AjH3","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752733","","413.49","1","18224775","911238750","AjH3","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768548","sea cucumber Transcriptome or Gene expression-AjH2","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS752719","","465.14","1","20585985","1029299250","AjH2","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX768547","sea cucumber Transcriptome or Gene expression-AjH1","Apostichopus japonicus","Illumina HiSeq 2000","liaoning ocean and fisheries science research inst","SRP050068","Apostichopus japonicus breed:domesticated Transcriptome or Gene expression","SRS748700","","596.11","1","25635711","1281785550","AjH1","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
